CaseID$,RESP,TIMEZONE,CATTMPT,KEY,FIPSCODE,MSA,CENDIV,REP,PHONETYP,USRCD,CREGION,DENSITY,FORM,SEX,APPBUSH,COUNTRY,BANKREC,REPNEWS,NEWSORG,HARMMAN,CONMOVE,ENVMOVE,SUPREME,REPPARTY,DEMPARTY,UNITED,GAYMAR,GAYLEG,GAYCONST,MARPUSH,ADOPT,BORNHOM,CHANGE,STANAT,MORNPILL,OUTSCRIP,IRAQFOR,ENVILAWS,ENVIVIEW,WARMDEC,WARMER,WARMPROB,WARMACT,WARMHUM,ISPALCON,INFLUCON,POLMAT,BUSHFAIT,RELAM,RELGOBA,RELEAD,LEADGOBA,DEM_REL,REP_REL,CONPUSH,LIBREL,RELCON,REFPILL,CHRISNAT,CHRISTUS,BIBLAW,ABGEN,ABPOSIT,ABMORAL,ABCOMPRO,ABSTANAT,FEDSTEM,STEMCURE,STEMSTAT,GODLAND,ISJESUS,BELGOD,GODEARTH,POWLIFE,EVOFORM,NATSUP,EVOSCI,TEACHPUB,EVOSTAT,RELIGION,RELIGVER,RELDEM,RELDEM_V,BORN,PENTECOS,CHARISMA,LIB_PROG,RIGHTMOV,LEFTMOVE,ATTEND,REL_IMP,SOABORT,SOIRAQ,SOLAHEX,SOHUNPOV,SOSTEM,SOEVOIN,SOLAIM,SOENVIR,SODEATH,FEELBIB,CHRISTON,PRAYTON,PRAYTON2,SECCOM,RETLIFE,TIMEBIB,RETEARTH,AFRETURN,AGE,EDUC,HISPANIC,POPRACE,RACE,MARITAL,PARENT,INCOME,REGIST,REGICERT,PARTY,PARTYLEA,POLVIEW,VOTE04,BUKESE,OWNRENT,EMPLOY,VETERAN,LABOR,ANCESTRY,ANCESTR2,COUNTRB,COUNTRB2,COUNTFA,COUNTFA2,COUNTMO,COUNTMO2,ZIPCODE,CONTACT,LANGUAGE,ENDDATE,DAY,COMMIT,WEIGHT,GAYMAR_C,MARPUSHC,ABORT,I-AGE,I-ATTEND,I-EDUC,I-GENDER,I-INCOME,I-MARITAL
118,1082,4,3,101172,6067,40900,9,16,0,1,4,4,1,1,1,1,2,1,,,,,,,,,2,2,,1,2,1,9,1,3,9,1,2,6,,,,,,4,6,2,3,9,,,,3,2,,,3,2,1,,2,1,2,3,1,1,2,1,1,9,2,,,,1,1,,9,1,9,,,,,,,,,2,5,3,,,,,,,,,,3,,,,,,,,,42,3,2,2,1,5,1,10,2,,3,9,3,2,,2,3,7,4,,,,,,,,,95864,1,1,60710,2,10,1.792,1,2,1,3,5,3,1,,5
119,1090,4,2,103452,6037,31100,9,47,3,1,4,5,2,2,2,2,1,,1,1,4,1,3,4,2,2,1,1,,2,,,,,1,1,2,2,5,1,1,1,1,1,,,1,1,,,1,2,2,1,1,2,1,2,,2,2,,,,,,,,,,,3,,,1,1,1,,,9, <8:Other religion - Non-Christian (SPECIFY)>:atheist,,,,,,,2,,6,3,,,,,,,,,,3,,,,,,,,,61,7,2,2,1,2,2,7,1,1,2,,5,1,2,2,1,7,4,,,,,,,,,90066,1,1,60710,2,11,0.736,1,1,,4,6,7,2,7,2
120,1125,1,7,100075,23027,0,1,2,1,3,1,1,2,1,2,2,1,,2,1,4,2,1,3,3,1,1,1,,1,,,,,2,4,2,2,1,1,1,1,1,1,,,1,1,,,1,2,1,1,1,2,3,1,,2,2,,,,,,,,,,,2,,1,1,1,1,,,9,,,,,,,,2,,6,3,,,,,,,,,,3,,,,,,,,,55,6,2,2,4,1,1,10,1,1,1,,2,1,2,1,1,7,4,,,,,,,,,4849,1,1,60711,3,11,0.492,1,2,,4,6,6,1,,1
121,1126,1,4,101690,37013,0,5,24,3,3,3,1,2,1,2,2,1,,1,3,4,2,3,4,3,2,2,1,,2,,,,,2,1,2,2,5,1,1,1,1,1,,,9,3,,,3,2,1,1,1,2,1,2,,2,2,,,,,,,,,,,,,,1,1,1,,,9, <8:Other religion - Non-Christian (SPECIFY)>:athiest|',,,,,,,2,,6,3,,,,,,,,,,3,,,,,,,,,60,6,2,2,1,5,2,5,1,1,3,2,5,1,2,2,1,1,4,,,,,,,,,27889,1,1,60711,3,11,0.492,1,1,,4,6,6,1,4,5
122,1159,1,6,103932,51191,28700,5,54,1,2,3,1,1,1,2,2,2,1,,,,,,,,,2,2,,1,2,1,2,2,2,2,2,2,5,,,,,,9,,1,1,1,2,,,1,1,,,2,2,1,,2,1,2,3,1,1,1,1,1,2,2,,,,1,1,,1,1,9,,,,,,,,,2,2,3,2,2,2,2,2,2,2,1,2,3,,,,,,,,,49,3,2,2,1,1,2,7,1,1,2,,4,1,2,1,1,7,4,,,,,,,,,24210,1,1,60711,3,7,1.177,1,2,1,4,2,3,1,7,1
123,1165,1,6,106455,12095,36740,5,88,1,2,3,4,1,1,2,2,2,2,,,,,,,,,4,3,1,,4,3,1,1,1,4,2,2,6,,,,,,4,6,2,1,2,2,,,3,3,,,3,1,2,,1,3,1,2,1,1,2,2,1,1,2,1,1,,2,,,2,1,9,,,,,,,,,2,2,1,2,2,2,1,2,2,2,2,2,1,,,,,,,,,42,3,2,2,2,5,2,6,2,,3,9,3,2,,1,1,1,4,,,,,,,,,32808,1,1,60711,3,3,2.254,2,4,2,3,2,3,1,6,5
124,1180,2,6,101800,5119,30780,7,25,1,1,3,3,2,1,2,1,2,,1,1,3,2,2,3,3,2,2,2,,1,,,,,2,3,2,2,3,1,1,1,1,1,,,2,3,,,3,1,2,1,2,2,3,2,,2,2,,,,,,,,,,,2,,1,1,9,1,,,9,,,,,,,,2,,5,3,,,,,,,,,,3,,,,,,,,,29,5,2,2,1,1,1,5,1,1,3,2,3,1,3,1,1,7,4,,,,,,,,,72103,1,1,60711,3,10,1.250962963,1,2,,2,5,4,1,4,1
125,1204,2,1,113759,55131,33340,3,185,3,2,2,2,1,1,2,2,2,1,,,,,,,,,2,1,,2,1,1,2,2,3,1,2,2,5,,,,,,2,5,1,1,2,4,,,1,1,,,1,2,1,,2,1,2,3,2,2,1,1,1,2,2,,,,1,1,,1,1,9,,,,,,,,,2,6,3,,,,,,,,,,3,,,,,,,,,22,5,2,2,1,5,2,6,1,1,3,2,4,1,2,3,3,7,4,,,,,,,,,52027,1,1,60711,3,11,1.373,1,1,1,1,6,4,1,6,5
126,1220,1,5,108410,39077,0,3,114,1,3,2,2,2,2,2,2,2,,1,1,4,2,3,3,3,3,9,2,,,,,,,2,2,1,2,1,9,,2,1,1,,,1,3,,,1,2,1,1,1,1,3,2,,1,2,,,,,,,,,,,,,,1,9,9,,,9,,,,,,,,2,,4,1,,,,,,,,,,4,,,,,,,,,48,3,2,2,1,1,1,10,1,1,3,2,3,1,2,1,3,7,2,,,,,,,,,44826,1,1,60711,3,5,1.249,5,5,,4,4,3,2,,1
127,1236,1,6,109065,9001,14860,1,123,1,1,1,4,2,2,2,2,1,,1,1,4,2,2,4,2,2,1,4,,2,,,,,1,2,2,2,3,1,1,2,2,1,,,1,1,,,1,2,2,1,1,2,2,2,,2,2,,,,,,,,,,,,,,1,2,1,,,9,,,,,,,,2,,6,2,,,,,,,,,,2,,,,,,,,,32,6,2,2,1,5,1,7,1,1,2,,4,1,2,1,1,7,4,,,,,,,,,6801,2,1,60711,3,9,1.442,1,1,,2,6,6,2,7,5
128,1242,1,2,113012,51700,47260,5,175,3,1,3,5,2,1,2,1,1,,1,1,4,2,2,3,8,2,9,9,,,,,,,2,9,9,2,5,1,1,2,9,1,,,2,9,,,9,,1,1,1,1,2,2,,1,2,,,,,,,,,,,2,,1,1,2,1,,,9,,,,,,,,2,,5,2,,,,,,,,,,3,,,,,,,,,58,7,2,2,1,2,2,5,1,1,2,,3,1,2,1,1,7,4,,,,,,,,,23602,1,1,60711,3,8,0.89,5,5,,4,5,7,1,4,2
129,1246,1,2,113166,37051,22180,5,177,1,2,3,3,2,1,1,2,2,,2,9,3,4,3,3,3,3,3,2,1,,,,,,2,3,1,1,5,2,,3,2,9,,,1,3,,,9,,3,1,1,1,1,2,,1,2,,,,,,,,,,,,,,1,1,1,,,9, <8:Other religion - Non-Christian (SPECIFY)>:no prefrence,,,,,,,2,,5,3,,,,,,,,,,3,,,,,,,,,46,5,2,2,1,1,2,8,1,1,3,1,3,1,1,1,1,1,4,,,,,,,,,28306,1,1,60711,3,10,0.548,2,4,,4,5,4,1,9,1
130,1272,4,5,110262,6079,42020,9,138,0,1,4,1,2,1,2,2,1,,1,3,3,2,2,3,3,3,1,2,,9,,,,,2,2,2,3,,1,1,2,1,1,,,1,1,,,1,2,1,1,1,2,2,1,,1,2,,,,,,,,,,,,,,1,1,1,,,9,,,,,,,,2,,5,3,,,,,,,,,,3,,,,,,,,,47,6,2,2,1,2,2,7,1,1,3,9,3,1,2,1,1,7,4,,,,,,,,,93405,1,1,60711,3,10,0.492,1,3,,4,5,6,1,7,2
131,1273,4,3,104945,4013,38060,8,67,1,1,4,3,1,1,1,9,3,1,,,,,,,,,1,1,,2,1,9,2,2,2,1,9,1,3,,,,,,4,1,1,1,1,2,,,9,1,,,3,2,9,,2,1,2,3,2,1,2,1,1,9,9,3,,,1,1,,1,1,9,,,,,,,,,2,6,3,,,,,,,,,,9,,,,,,,,,23,3,2,2,1,5,2,10,1,1,3,9,4,1,2,2,1,7,4,,,,,,,,,85203,2,1,60711,3,11,1.646,1,1,1,1,6,3,1,,5
132,1276,3,1,113710,8041,17820,8,184,1,1,4,2,1,2,2,2,2,1,,,,,,,,,1,1,,2,1,3,2,1,2,1,2,2,4,,,,,,4,6,1,1,1,2,,,2,3,,,1,2,1,,2,1,2,3,1,1,1,1,1,9,2,,,,1,2,,1,2,9,,,,,,,,,9,3,1,2,2,1,2,2,1,2,1,2,3,,,,,,,,,35,3,2,2,1,2,1,5,1,1,3,2,4,1,2,1,1,7,4,,,,,,,,,80909,1,1,60711,3,4,1.401962963,1,1,1,3,3,3,2,4,2
133,1279,4,1,111329,6061,40900,9,152,3,2,4,2,2,1,2,2,3,,1,1,4,1,3,4,2,2,1,1,,2,,,,,2,1,2,2,5,1,1,1,1,1,,,2,3,,,2,1,2,1,1,2,3,2,,1,2,,,,,,,,,,,3,,,1,1,1,,,9,,,,,,,,2,,6,3,,,,,,,,,,3,,,,,,,,,55,3,2,2,1,1,2,6,1,1,2,,5,1,2,1,1,7,4,,,,,,,,,95614,1,1,60711,3,11,0.893,1,1,,4,6,3,1,6,1
134,1285,4,5,109142,6111,37100,9,123,1,2,4,3,1,1,9,9,3,9,,,,,,,,,9,9,,,9,9,9,9,3,9,9,3,,,,,,,9,,9,9,9,,,,9,9,,,3,2,2,,9,9,2,9,1,9,2,9,1,9,9,9,,,1,9,,1,9,9,,,,,,,,,2,4,3,,,,,,,,,,4,,,,,,,,,50,7,2,2,1,1,1,10,1,1,4,9,3,8,,1,3,1,4,,,,,,,,,93021,2,1,60711,3,9,0.497,5,5,9,4,4,7,1,,1
135,1294,1,4,107291,50009,0,1,99,0,3,1,1,2,1,1,2,1,,1,3,5,2,3,3,3,2,3,1,1,,,,,,1,2,1,1,3,1,9,2,1,9,,,1,3,,,2,1,9,9,2,2,2,2,,1,2,,,,,,,,,,,,,,1,1,2,,,9,,,,,,,,2,,6,3,,,,,,,,,,3,,,,,,,,,42,5,2,2,1,1,1,5,1,1,5,2,4,1,1,2,1,7,4,,,,,,,,,5858,1,1,60712,4,11,0.637,2,4,,3,6,4,1,4,1
136,1304,1,1,113882,36051,40380,2,187,1,2,1,2,2,1,2,2,2,,1,2,3,1,2,2,3,2,2,2,,1,,,,,2,2,2,2,5,1,1,1,1,1,,,2,1,,,2,2,3,1,1,2,3,1,,1,2,,,,,,,,,,,2,,1,1,2,1,,,9,,,,,,,,2,,5,2,,,,,,,,,,2,,,,,,,,,21,5,2,2,1,5,2,3,1,1,3,1,3,1,3,3,3,7,4,,,,,,,,,14414,1,1,60712,4,8,1.247,1,2,,1,5,4,1,3,5
137,1317,1,1,114546,36053,45060,2,196,1,2,1,2,2,1,2,2,1,,1,2,4,1,4,4,3,3,1,1,,2,,,,,1,1,2,2,5,1,1,1,1,1,,,2,1,,,1,2,1,1,1,2,1,2,,2,2,,,,,,,,,,,1,1,,1,1,1,,,9,,,,,,,,2,,5,3,,,,,,,,,,3,,,,,,,,,36,7,2,2,1,1,1,6,1,1,3,2,5,2,,2,1,7,4,,,,,,,,,13332,1,1,60712,4,10,0.604,1,1,,3,5,7,1,6,1
138,1322,1,1,114710,51095,47260,5,198,1,2,3,3,1,1,2,2,1,1,,,,,,,,,9,3,,,9,1,2,2,1,1,2,2,3,,,,,,4,3,1,1,1,2,,,2,1,,,1,2,2,,2,1,1,3,1,1,1,1,1,2,2,,,,1,1,,2,1,9,,,,,,,,,2,6,3,,,,,,,,,,3,,,,,,,,,66,7,2,2,1,1,2,9,1,1,2,,3,1,2,1,3,7,4,,,,,,,,,23185,1,1,60712,4,11,0.497,5,5,1,5,6,7,1,9,1
139,1326,1,1,114864,36029,15380,2,200,1,1,1,4,2,1,1,1,1,,1,1,4,2,2,2,3,3,4,4,1,,,,,,1,4,2,2,5,1,1,2,1,2,,,2,3,,,2,2,1,1,2,1,1,2,,1,1,,,,,,,,,,,2,,1,2,,1,,,9,,,,,,,,2,,3,1,2,1,2,1,2,2,1,2,2,2,,,,,,,,,55,6,2,2,4,5,2,2,1,1,1,,3,1,1,2,3,7,4,,,,,,,,,14214,1,1,60712,4,4,0.492,2,4,,4,3,6,1,2,5
140,1343,1,1,115533,25013,44140,1,209,1,2,1,3,2,2,2,2,2,,1,1,4,2,2,3,2,2,2,2,,2,,,,,2,3,2,2,5,1,1,2,1,2,,,1,1,,,1,2,2,1,1,1,2,2,,1,2,,,,,,,,,,,3,,,1,1,2,,,9,,,,,,,,2,,6,3,,,,,,,,,,3,,,,,,,,,32,7,2,2,1,1,1,7,1,1,3,2,3,2,,1,1,7,1,,,,,,,,,1030,1,1,60712,4,11,1.349,1,1,,2,6,7,2,7,1
141,1359,1,8,103490,36081,35620,2,48,0,1,1,5,2,2,2,2,1,,2,3,3,2,1,3,1,2,1,1,,2,,,,,1,1,2,2,1,1,1,1,1,1,,,1,1,,,1,2,2,1,1,1,1,2,,1,2,,,,,,,,,,,1,1,,1,1,1,,,9,,,,,,,,2,,4,2,,,,,,,,,,2,,,,,,,,,24,7,2,2,4,5,2,2,1,1,3,2,4,2,,2,2,7,4,,,,,,,,,11415,2,1,60712,4,7,0.962,1,1,,1,4,7,2,2,5
142,1363,1,4,109307,51620,0,5,126,0,3,3,4,2,2,9,2,2,,1,1,5,5,2,8,3,3,4,1,2,,,,,,2,3,1,9,,1,1,1,9,1,,,2,2,,,2,2,9,1,9,9,2,2,,1,2,,,,,,,,,,,1,1,,9,,1,,,9,,,,,,,,2,,4,1,,,,,,,,,,1,,,,,,,,,42,2,2,2,1,2,1,1,2,,4,9,5,2,,2,2,7,4,,,,,,,,,23837,2,1,60712,4,5,1.811,3,4,,3,4,1,2,2,2
143,1364,1,8,100588,26123,24340,3,9,1,2,2,1,2,2,2,2,2,,1,1,4,2,2,4,1,2,9,3,,,,,,,2,1,2,2,3,1,2,2,2,1,,,1,2,,,2,1,1,3,1,1,1,2,,1,2,,,,,,,,,,,,,,2,,1,,,9, <8:Other religion - Non-Christian (SPECIFY)>:she have none,,,,,,,2,,5,2,,,,,,,,,,1,,,,,,,,,58,3,2,2,1,1,2,10,1,1,2,,3,1,2,1,3,2,2,,,,,,,,,49349,2,1,60712,4,8,0.602,5,5,,4,5,3,2,,1
144,1369,1,3,105808,34029,35620,2,79,0,2,1,3,1,2,2,1,3,1,,,,,,,,,2,2,,2,1,3,2,2,2,3,2,1,3,,,,,,1,3,9,2,2,2,,,2,2,,,3,2,2,,1,2,2,1,1,2,3,1,1,2,2,,,,1,2,,2,1,9,,,,,,,,,2,3,1,1,1,2,1,2,2,2,1,2,2,,,,,,,,,18,3,1,1,2,5,2,5,1,1,2,,3,1,2,2,1,7,4,,,,,,,,,8701,2,1,60712,4,4,1.201962963,1,1,1,1,3,3,2,4,5
145,1373,1,5,111729,37175,0,5,158,1,3,3,1,1,1,2,2,1,1,,,,,,,,,9,1,,,3,2,1,2,1,1,2,2,5,,,,,,9,,2,1,2,2,,,2,1,,,1,1,1,,2,1,1,3,1,2,1,1,2,2,9,,,,1,2,,1,2,9,,,,,,,,,2,5,1,,,,,,,,,,2,,,,,,,,,52,7,2,2,1,1,2,6,1,1,2,,4,1,2,1,1,7,4,,,,,,,,,28708,1,1,60712,4,6,0.497,5,5,1,4,5,7,1,6,1
146,1401,2,8,105689,5137,0,7,77,3,3,3,1,1,2,1,2,2,1,,,,,,,,,4,4,1,,4,3,1,1,2,3,1,2,3,,,,,,1,4,2,2,1,1,,,2,2,,,2,2,1,,1,3,1,2,1,1,1,1,1,1,2,,,,2,,,1,1,9,,,,,,,,,1,3,1,1,1,1,1,1,1,2,1,1,1,,,,,,,,,27,5,2,2,1,1,1,7,1,1,3,2,3,1,1,1,2,7,4,,,,,,,,,72560,1,1,60712,4,4,1.664,2,4,2,2,3,4,2,7,1
147,1403,1,3,110885,36061,35620,2,147,1,1,1,5,2,1,2,2,2,,1,3,4,1,8,4,2,2,2,1,,2,,,,,3,1,2,2,1,1,1,1,1,1,,,1,1,,,1,2,2,1,1,2,3,2,,1,2,,,,,,,,,,,,,,1,1,1,,,9,,,,,,,,2,,6,3,,,,,,,,,,3,,,,,,,,,35,6,2,2,1,1,1,9,1,1,2,,4,2,,1,1,7,4,,,,,,,,,10012,2,1,60712,4,11,1.179,1,1,,3,6,6,1,9,1
148,1411,2,1,114202,5023,0,7,191,3,3,3,1,2,1,2,2,3,,1,2,4,1,3,4,1,2,2,2,,1,,,,,2,2,2,2,5,1,1,1,1,1,,,1,1,,,1,2,2,1,1,2,3,1,,2,2,,,,,,,,,,,2,,1,1,2,1,,,9,,,,,,,,2,,1,1,2,2,2,2,2,2,2,2,2,2,,,,,,,,,63,5,2,2,1,2,2,6,1,1,2,,3,1,2,1,3,1,1,,,,,,,,,72350,1,1,60712,4,2,0.492,1,2,,4,1,4,1,6,2
149,1430,2,4,108357,48309,47380,7,113,1,1,3,2,2,1,2,2,1,,1,1,4,2,3,4,2,1,2,2,,2,,,,,2,2,2,2,3,1,1,2,1,1,,,2,1,,,1,2,1,1,1,1,1,2,,1,2,,,,,,,,,,,,,,1,1,2,,,9,,,,,,,,2,,5,3,,,,,,,,,,2,,,,,,,,,53,5,2,2,1,1,2,7,2,,3,2,4,1,2,1,1,1,4,,,,,,,,,76706,1,1,60712,4,10,0.492,1,1,,4,5,4,1,7,1
150,1437,2,2,114806,31169,0,4,199,0,3,2,1,1,1,2,2,2,9,,,,,,,,,3,3,1,,4,3,2,1,3,2,2,2,6,,,,,,1,6,2,2,2,2,,,3,3,,,3,2,1,,2,3,1,1,2,1,2,1,1,1,9,,,,1,1,,1,1,9,,,,,,,,,2,6,2,,,,,,,,,,2,,,,,,,,,42,4,2,2,1,1,1,3,2,,4,9,5,2,,3,3,1,4,,,,,,,,,68325,1,1,60712,4,9,0.741,2,4,2,3,6,4,1,3,1
151,1450,2,5,107693,17031,16980,3,104,3,1,2,5,2,1,2,2,1,,2,9,3,2,2,2,1,3,3,1,2,,,,,,2,1,2,2,3,1,1,1,1,1,,,2,3,,,2,2,1,1,1,1,1,1,,1,2,,,,,,,,,,,,,,2,,1,,,9,,,,,,,,2,,5,1,,,,,,,,,,2,,,,,,,,,55,4,1,1,1,1,2,6,1,1,2,,3,1,2,1,1,7,2,,,,,,,,,60623,1,1,60712,4,6,1.708,3,4,,4,5,4,1,6,1
152,1454,1,2,115766,26139,26100,3,212,1,2,2,3,1,1,2,2,2,3,,,,,,,,,3,2,2,,3,9,1,2,1,2,2,2,5,,,,,,3,5,1,1,1,2,,,2,1,,,1,2,2,,2,1,1,2,1,2,1,1,2,2,2,3,,,1,1,,2,1,9,,,,,,,,,2,6,3,,,,,,,,,,3,,,,,,,,,62,5,2,2,1,1,2,5,1,1,3,2,3,1,2,1,3,7,4,,,,,,,,,49456,1,1,60712,4,11,0.497,3,4,1,4,6,4,1,4,1
153,1457,1,3,115395,39025,17140,3,207,0,2,2,3,1,2,2,2,3,2,,,,,,,,,1,1,,2,1,1,9,2,2,3,2,2,6,,,,,,4,3,2,9,2,9,,,2,2,,,3,2,2,,2,2,1,2,1,1,2,9,9,9,1,,,,1,1,,1,2,9,,,,,,,,,2,5,3,,,,,,,,,,9,,,,,,,,,24,2,2,2,1,2,1,10,2,,3,2,3,1,2,2,2,7,4,,,,,,,,,45150,1,1,60712,4,10,3.478,1,1,1,1,5,1,2,,2
